month,product_line,channel,region,policy_count,gross_written_premium,renewal_count,renewal_premium,average_ticket_size,notes
2023-01,Crop,Agent,East,21,371007.0,14,247078.3,17667.0,
2023-01,Crop,Agent,North,35,171402.35,27,134845.29,4897.21,
2023-01,Crop,Agent,South,31,252191.82,23,177785.63,8135.22,
2023-01,Crop,Agent,West,27,278979.12,21,211783.74,10332.56,
2023-01,Crop,Bancassurance,East,13,139435.14,11,116349.97,10725.78,
2023-01,Crop,Bancassurance,North,26,338866.32,21,283371.48,13033.32,
2023-01,Crop,Bancassurance,South,25,144166.0,19,106873.67,5766.64,
2023-01,Crop,Bancassurance,West,19,159843.01,16,130786.72,8412.79,
2023-01,Crop,Broker,East,12,45664.32,8,28948.96,3805.36,
2023-01,Crop,Broker,North,23,163810.83,16,110858.72,7122.21,
2023-01,Crop,Broker,South,21,395147.34,13,249790.06,18816.54,
2023-01,Crop,Broker,West,19,67104.58,11,37846.27,3531.82,
2023-01,Crop,Direct/Online,East,15,54139.95,12,41324.28,3609.33,
2023-01,Crop,Direct/Online,North,25,421221.25,20,326368.2,16848.85,
2023-01,Crop,Direct/Online,South,26,123037.2,20,94764.6,4732.2,
2023-01,Crop,Direct/Online,West,18,74052.36,13,52479.83,4114.02,
2023-01,Crop,PoSP,East,7,126912.31,5,87421.9,18130.33,
2023-01,Crop,PoSP,North,13,109197.53,9,74437.65,8399.81,
2023-01,Crop,PoSP,South,11,63946.19,9,53567.82,5813.29,
2023-01,Crop,PoSP,West,9,53460.45,6,33872.58,5940.05,
2023-01,Health (Group),Agent,East,74,4805166.32,54,3360776.4,64934.68,
2023-01,Health (Group),Agent,North,145,9775636.1,116,7924457.64,67418.18,
2023-01,Health (Group),Agent,South,115,8368326.9,83,6257614.02,72768.06,
2023-01,Health (Group),Agent,West,96,3257425.92,79,2705702.6,33931.52,
2023-01,Health (Group),Bancassurance,East,48,1661084.16,38,1299681.32,34605.92,
2023-01,Health (Group),Bancassurance,North,89,4646649.06,75,3850572.75,52209.54,
2023-01,Health (Group),Bancassurance,South,82,6114296.38,55,4024953.35,74564.59,
2023-01,Health (Group),Bancassurance,West,79,4814619.45,67,4074860.94,60944.55,
2023-01,Health (Group),Broker,East,37,2181929.59,30,1767744.0,58971.07,
2023-01,Health (Group),Broker,North,81,6211279.26,68,5261376.24,76682.46,
2023-01,Health (Group),Broker,South,69,4488503.13,50,3276097.0,65050.77,
2023-01,Health (Group),Broker,West,55,4704169.8,34,2788136.68,85530.36,
2023-01,Health (Group),Direct/Online,East,57,2638370.97,39,1768533.39,46287.21,
2023-01,Health (Group),Direct/Online,North,105,5783605.8,77,4142260.43,55081.96,
2023-01,Health (Group),Direct/Online,South,86,4821333.72,69,3817028.94,56062.02,
2023-01,Health (Group),Direct/Online,West,86,7272385.32,68,5770634.36,84562.62,
2023-01,Health (Group),PoSP,East,25,1363266.75,19,1031787.97,54530.67,
2023-01,Health (Group),PoSP,North,43,3832635.15,36,3086298.36,89131.05,
2023-01,Health (Group),PoSP,South,47,3121260.6,34,2299952.44,66409.8,
2023-01,Health (Group),PoSP,West,34,1517259.52,29,1243738.08,44625.28,
2023-01,Health (Retail),Agent,East,370,8006663.1,341,7698647.88,21639.63,
2023-01,Health (Retail),Agent,North,633,14709293.19,528,12007348.32,23237.43,
2023-01,Health (Retail),Agent,South,575,7228767.75,441,5325652.71,12571.77,
2023-01,Health (Retail),Agent,West,529,12034633.62,434,9487496.06,22749.78,
2023-01,Health (Retail),Bancassurance,East,235,6015132.85,186,4674259.98,25596.31,
2023-01,Health (Retail),Bancassurance,North,402,6154238.1,343,5137961.64,15309.05,
2023-01,Health (Retail),Bancassurance,South,399,5847851.73,258,3658290.36,14656.27,
2023-01,Health (Retail),Bancassurance,West,361,11597164.71,301,9361677.92,32125.11,
2023-01,Health (Retail),Broker,East,198,3504661.38,131,2392145.15,17700.31,
2023-01,Health (Retail),Broker,North,369,11190585.51,255,7815316.5,30326.79,
2023-01,Health (Retail),Broker,South,349,7191574.27,255,5447689.95,20606.23,
2023-01,Health (Retail),Broker,West,389,5263500.65,304,4246925.6,13530.85,
2023-01,Health (Retail),Direct/Online,East,253,6417517.04,172,4456876.04,25365.68,
2023-01,Health (Retail),Direct/Online,North,497,17072948.97,370,12092443.6,34352.01,
2023-01,Health (Retail),Direct/Online,South,487,7320540.17,343,5159210.49,15031.91,
2023-01,Health (Retail),Direct/Online,West,359,5390144.47,248,3685416.4,15014.33,
2023-01,Health (Retail),PoSP,East,130,4258932.6,107,3603398.34,32761.02,
2023-01,Health (Retail),PoSP,North,259,4593600.69,202,3421166.94,17735.91,
2023-01,Health (Retail),PoSP,South,186,5797536.3,126,3769920.0,31169.55,
